Camp,Country,Longitude,Latitude,DatePublished,Individuals,Households,Male_0_4,Male_5_11,Male_12_17,Male_60,Female_0_4,Female_5_11,Female_12_17,Female_18_59,Female_60,Eritrean,Ethiopian,Somali,Sudanese,Ugandan,,% Male_0_4,% Male_5_11,% Male_12_17,% Male_60,% Female_0_4,% Female_5_11,% Female_12_17,% Female_18_59,% Female_60
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,10/27/2011,27569,6630,3717,4180,1651,411,3586,3790,1253,4988,428,,136,27433,,,,13.48,15.16,5.99,1.49,13.01,13.75,4.54,18.09,1.55
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,11/20/2011,27561,6629,3716,4179,1650,411,3585,3789,1252,4987,428,,136,27425,,,,13.48,15.16,5.99,1.49,13.01,13.75,4.54,18.09,1.55
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,12/14/2011,37115,9295,5131,5460,2053,542,4782,4923,1591,6959,625,,446,36668,1,,,13.82,14.71,5.53,1.46,12.88,13.26,4.29,18.75,1.68
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,9/22/2011,28381,6927,3979,4227,1572,385,3619,3825,1256,5234,529,,366,28014,1,,,14.02,14.89,5.54,1.36,12.75,13.48,4.43,18.44,1.86
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,10/27/2011,37205,9338,5149,5472,2055,541,4785,4935,1600,6980,626,,446,36758,1,,,13.84,14.71,5.52,1.45,12.86,13.26,4.3,18.76,1.68
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,11/20/2011,37193,9335,5147,5473,2054,541,4784,4932,1598,6977,626,,446,36746,1,,,13.84,14.72,5.52,1.45,12.86,13.26,4.3,18.76,1.68
Kambioos,Kenya,40.393056,-0.044167,11/20/2011,10213,2188,1357,1689,655,122,1273,1434,476,1790,158,,46,10167,,,,13.29,16.54,6.41,1.19,12.46,14.04,4.66,17.53,1.55
Kambioos,Kenya,40.393056,-0.044167,12/14/2011,10384,2213,1386,1710,660,122,1296,1461,488,1822,160,,46,10338,,,,13.35,16.47,6.36,1.17,12.48,14.07,4.7,17.55,1.54
Kambioos,Kenya,40.393056,-0.044167,9/28/2011,3729,779,475,640,278,35,423,525,202,619,54,,29,3700,,,,12.74,17.16,7.46,0.94,11.34,14.08,5.42,16.6,1.45
Kambioos,Kenya,40.393056,-0.044167,10/27/2011,10188,2188,1353,1685,651,122,1273,1430,472,1787,158,,46,10142,,,,13.28,16.54,6.39,1.2,12.5,14.04,4.63,17.54,1.55
Kobe,Ethiopia,41.7469,4.481,9/30/2011,25687,5850,3395,4050,1413,389,3210,3704,1195,4843,380,,,,,,,13.22,15.77,5.5,1.51,12.5,14.42,4.65,18.85,1.48
Kobe,Ethiopia,41.7469,4.481,8/27/2011,25359,5679,3320,5046,2534,131,3162,4559,3839,1580,104,,,,,,,13.09,19.9,9.99,0.52,12.47,17.98,15.14,6.23,0.41
Kobe,Ethiopia,41.7469,4.481,12/28/2011,25982,5938,3461,4061,1423,401,3323,3705,1199,4854,382,,,,,,,13.32,15.63,5.48,1.54,12.79,14.26,4.61,18.68,1.47
Kobe,Ethiopia,41.7469,4.481,7/30/2011,24956,5510,3283,4966,2453,131,3117,4490,3678,1675,103,,,,,,,13.16,19.9,9.83,0.52,12.49,17.99,14.74,6.71,0.41
Kobe,Ethiopia,41.7469,4.481,10/28/2011,25687,5851,3393,4051,1413,390,3210,3704,1195,4842,380,,,,,,,13.21,15.77,5.5,1.52,12.5,14.42,4.65,18.85,1.48
Kobe,Ethiopia,41.7469,4.481,11/29/2011,25862,5911,3436,4054,1419,395,3285,3702,1196,4850,381,,,,,,,13.29,15.68,5.49,1.53,12.7,14.31,4.62,18.75,1.47
Melkadida,Ethiopia,41.703053,4.523053,9/30/2011,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,,,14.1,15.66,5.38,1.06,13.63,15.02,5.38,19.1,1.08
Melkadida,Ethiopia,41.703053,4.523053,8/27/2011,39825,9836,5571,7669,3431,131,5369,7294,5582,3173,190,,,,,,,13.99,19.26,8.62,0.33,13.48,18.32,14.02,7.97,0.48
Melkadida,Ethiopia,41.703053,4.523053,12/28/2011,40632,10004,5064,6819,2395,438,4871,6536,2343,7769,437,,,,,,,12.46,16.78,5.89,1.08,11.99,16.09,5.77,19.12,1.08
Melkadida,Ethiopia,41.703053,4.523053,7/30/2011,39501,9724,5480,7657,3366,128,5280,7277,5565,3172,189,,,,,,,13.87,19.38,8.52,0.32,13.37,18.42,14.09,8.03,0.48
Melkadida,Ethiopia,41.703053,4.523053,10/28/2011,40103,9905,5675,6275,2155,425,5474,6018,2157,7653,431,,,,,,,14.15,15.65,5.37,1.06,13.65,15.01,5.38,19.08,1.07
Melkadida,Ethiopia,41.703053,4.523053,11/29/2011,40360,9950,4976,6798,2385,434,4793,6526,2336,7748,434,,,,,,,12.33,16.84,5.91,1.08,11.88,16.17,5.79,19.2,1.08
